,name,address,latitude,longitude
0,UGC Ciné Cité Les Halles,"7, place de la Rotonde 75001 Paris 1er arrondissement",48.896159999999995,2.3856599999999997
1,UGC Ciné Cité Bercy,"2, cour Saint-Emilion 75012 Paris 12e arrondissement",48.8318355,2.3852327
2,MK2 Bibliothèque,128-162 avenue de France 75013 Paris 13e arrondissement,48.83167,2.376
3,Pathé Wepler,"140, bd de Clichy et 8, av de Clichy 75018 Paris 18e arrondissement",48.88394,2.32803
4,Pathé Beaugrenelle,7 rue Linois 75015 Paris 15e arrondissement,48.8489,2.28258
