,category,latitude,location,longitude,name
0,Food,48.861583,L1,2.352296,A l‘ancienne
1,Food,48.86162641525465,L1,2.352667969533703,Lapeyronie
2,Food,48.860915,L1,2.35464,Huré
3,Food,48.862301498091426,L1,2.3511419513118725,Anticafé Beaubourg
4,Food,48.860017542928325,L1,2.3520585894584656,Georges
5,Food,48.86182051502064,L1,2.3516183533382673,La French Guinguette
6,Food,48.8628,L1,2.35237,Trois Fois plus de Piment
7,Food,48.86101666525852,L1,2.3511868715286255,Bistrot du Centre
8,Food,48.86194095031236,L1,2.3508301377296448,Hall 1900
9,Food,48.86134713921776,L1,2.3518477701634652,Le Cirque Café Restaurant
10,Food,48.86176449807317,L1,2.353767802936569,Chez Cay
11,Food,48.861760123196625,L1,2.3513647319524527,Chouchou
12,Food,48.8619,L1,2.35213,Cinq Fois Plus
13,Food,48.862190369740006,L1,2.351964523258019,Café La Fusée
14,Food,48.8618906401098,L1,2.35288504511118,chacha & compagnie
15,Food,48.86116552507142,L1,2.3534800126227657,La Station Rambuteau
16,Food,48.861816772069645,L1,2.3510582282795456,Man'ouché
17,Food,48.86136285049033,L1,2.35337496278751,Flunch
18,Food,48.861772962824354,L1,2.3512651052071347,Le Petit Marcel
19,Food,48.86162615661756,L1,2.351629831158275,Le Cavalier Bleu
20,Food,48.86172091008543,L1,2.3514014997634534,Glace Bachir
21,Food,48.86024070312239,L1,2.350421785021407,Starbucks Coffee
22,Food,48.86212515693982,L1,2.3495961648616857,Starbucks Coffee
23,Food,48.86107230096635,L1,2.3538057645727637,François Pralus
24,Food,48.86188,L1,2.3507671,Vertus - Le Bar à Jus
25,Food,48.860852,L1,2.354762,Obao
26,Food,48.86144872744975,L1,2.3542004416884543,Le Hangar
27,Food,48.86093687717986,L1,2.3543262962030815,Le Potager du Marais
28,Food,48.860444,L1,2.3522,Café Mezzanine
29,Food,48.86138103022756,L1,2.349562793970108,Le Paris-Halles
30,Food,48.86089347076943,L1,2.354413496784841,Le Ruisseau Burger Joint
31,Food,48.860826455756644,L1,2.354666493379683,Berko Original
32,Food,48.862525,L1,2.353949,La Récolte
33,Food,48.862131,L1,2.349845,Nabab Kebab (Châtelet)
34,Food,48.86052669403869,L1,2.354600841926289,"Pain, Vin, Fromage"
35,Food,48.86215150260297,L1,2.349504632693119,IT Trattoria
36,Food,48.86329383242844,L1,2.350973169572531,Le Spicy Home Paris
37,Food,48.86002667471822,L1,2.351937296138591,Georges Abstraction Surface Air
38,Food,48.85959171436225,L1,2.3520411550998688,Brasserie Paris Beaubourg
39,Food,48.86001497962737,L1,2.350706347704655,Al Solito Posto
40,Food,48.86329485253772,L1,2.350919496000866,Indiana Café – Sébastopol
41,Food,48.86130349978107,L1,2.3505544933970333,Dans Le Noir
42,Food,48.860571269892425,L1,2.351669553240942,Amorino
43,Food,48.86086856370866,L1,2.3545044214436213,Le Bouledogue
44,Food,48.86000993297019,L1,2.3509548604488373,Café Beaubourg
45,Food,48.860924,L1,2.3547058,Burger Joint
46,Food,48.86294673006787,L1,2.35318236557205,Ambassade d'Auvergne
47,Food,48.86359971183159,L1,2.3531967155876217,Auberge Nicolas Flamel
48,Food,48.85993579774543,L1,2.3545213337868,Comptoir Gourmet
49,Food,48.86001230089146,L1,2.349695457851058,Bistrot Beaubourg
0,Shop & Service,48.86159042229316,L1,2.3521499307230616,Leroy Merlin
1,Shop & Service,48.860465756391825,L1,2.3521900177001953,Librairie Flammarion
2,Shop & Service,48.860705743053124,L1,2.3523616790771484,Boutique du Centre Pompidou
3,Shop & Service,48.86162641525465,L1,2.352667969533703,Lapeyronie
4,Shop & Service,48.8612253754192,L1,2.352896990107382,Le Comptoir de Mathilde
5,Shop & Service,48.861393454503656,L1,2.351390216499567,Mad Vintage
6,Shop & Service,48.86210026944108,L1,2.3500409053550455,Flying Tiger Copenhagen
7,Shop & Service,48.86048869634302,L1,2.3501086235046387,Citadium Beaubourg
8,Shop & Service,48.86107230096635,L1,2.3538057645727637,François Pralus
9,Shop & Service,48.86178942087323,L1,2.353677624173471,Picard
10,Shop & Service,48.862830280663374,L1,2.352573573589325,G20
11,Shop & Service,48.8610483010459,L1,2.3543798215954124,Boucherie Provins
12,Shop & Service,48.86120845954331,L1,2.3538462817668915,Nicolas
13,Shop & Service,48.86291073317901,L1,2.3529033143979357,Sous Le Parasol
14,Shop & Service,48.86256120174508,L1,2.3512086296978763,Le Colonel Moutarde
15,Shop & Service,48.861874,L1,2.350325,Hippy Market
16,Shop & Service,48.86307089026673,L1,2.3526874414856436,A'Rhûm
17,Shop & Service,48.861937,L1,2.353993,Saucette
18,Shop & Service,48.8608912322107,L1,2.3544975543273874,Les cahiers de Colette
19,Shop & Service,48.861692,L1,2.351125,La Super Marquette
20,Shop & Service,48.862078,L1,2.350278,HSBC
21,Shop & Service,48.86069931656506,L1,2.350203745517433,Emmaüs Boutique
22,Shop & Service,48.86073062396809,L1,2.353421151638031,Carrefour City
23,Shop & Service,48.8620254,L1,2.3496854,Carrefour Bon app
24,Shop & Service,48.86303461,L1,2.35363457,La Vie Claire
25,Shop & Service,48.860321698272756,L1,2.352907144214188,Bio c' Bon
26,Shop & Service,48.862131,L1,2.349845,Nabab Kebab (Châtelet)
27,Shop & Service,48.862525,L1,2.353949,La Récolte
28,Shop & Service,48.861556,L1,2.349901,B-Zen
29,Shop & Service,48.860106,L1,2.354421,Gilda
30,Shop & Service,48.861536864435486,L1,2.3492449522018433,Mad Vintage
31,Shop & Service,48.86100224435678,L1,2.354242472683329,Franprix
32,Shop & Service,48.860865,L1,2.354971,Concept Store Maurice
33,Shop & Service,48.861167,L1,2.349452,Mi Store (by Xiaomi 小米)
34,Shop & Service,48.86106822154757,L1,2.350510874028137,Cave à Bulles
35,Shop & Service,48.86277494928874,L1,2.3505572523752027,Au reparateur de Bicyclettes
36,Shop & Service,48.862285,L1,2.350038,Jonak Stock
37,Shop & Service,48.861529,L1,2.349665,Kust
38,Shop & Service,48.85988932429481,L1,2.3506451460566087,Bobart'
39,Shop & Service,48.86247634887695,L1,2.354621410369873,Darrigol & Gagnez
40,Shop & Service,48.86232335090376,L1,2.352098847603267,Triple Stars Tatoo
41,Shop & Service,48.86251,L1,2.354122,Schläppi Showroom
42,Shop & Service,48.86027535440196,L1,2.3500576615333557,Vans
43,Shop & Service,48.86244254044476,L1,2.3521301440563187,Super Heros
44,Shop & Service,48.86126653093244,L1,2.3512887954711914,Monop'
45,Shop & Service,48.85993579774543,L1,2.3545213337868,Comptoir Gourmet
46,Shop & Service,48.85939024435134,L1,2.352924792601702,Abraxas Beaubourg
47,Shop & Service,48.86355456431634,L1,2.350890893994081,Persona Grata
