,location,address,latitude,longitude
0,L1,"50, rue Rambuteau 75003 Paris 3e arrondissement",48.86158,2.35229
1,L2,27-33 avenue des Champs-Elysées 75008 Paris 8e arrondissement,48.86946,2.30748
2,L3,"32, bd des Italiens 75009 Paris 9e arrondissement",48.87133,2.3353
3,L4,"166, boulevard Mac Donald 75019 Paris 19e arrondissement",48.89899000000001,2.37676
4,L5,"24, bd Poissonniere 75009 Paris 9e arrondissement",48.87136,2.3448900000000004
